name,id,genres,followers,popularity,spotify_url
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap",3844331,79,https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ
Don Toliver,4Gso3d4CscCijv0lmajZWs,rap,4580444,85,https://open.spotify.com/artist/4Gso3d4CscCijv0lmajZWs
Yeat,3qiHUAX7zY4Qnjx8TNUzVx,"pluggnb, rage rap",4997004,81,https://open.spotify.com/artist/3qiHUAX7zY4Qnjx8TNUzVx
Ken Carson,3gBZUcNeVumkeeJ19CY2sX,rage rap,1655211,78,https://open.spotify.com/artist/3gBZUcNeVumkeeJ19CY2sX
Sexyy Red,3DbwFQlvLxRSi2uX8mf81A,trap queen,1153431,77,https://open.spotify.com/artist/3DbwFQlvLxRSi2uX8mf81A
Cris Mj,1Yj5Xey7kTwvZla8sqdsdE,"mambo chileno, trap latino, urbano chileno, urbano latino",3358166,86,https://open.spotify.com/artist/1Yj5Xey7kTwvZla8sqdsdE
Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,"melodic rap, rap, trap",2189117,79,https://open.spotify.com/artist/1zNqQNIdeOUZHb8zbZRFMX
T-Pain,3aQeKQSyrW4qWr35idm0cy,"dance pop, gangster rap, hip hop, pop rap, r&b, rap, southern hip hop, trap, urban contemporary",4900144,77,https://open.spotify.com/artist/3aQeKQSyrW4qWr35idm0cy
Chief Keef,15iVAtD3s3FsQR4w1v6M0P,"chicago bop, chicago drill, chicago rap, drill, hip hop, rap, trap",4971977,76,https://open.spotify.com/artist/15iVAtD3s3FsQR4w1v6M0P
Freddie Dredd,0dlDsD7y6ccmDm8tuWCU6F,"meme rap, phonk",1844385,70,https://open.spotify.com/artist/0dlDsD7y6ccmDm8tuWCU6F
Kordhell,2W6WP4pHQTFlbr2z9S4n54,drift phonk,1277155,71,https://open.spotify.com/artist/2W6WP4pHQTFlbr2z9S4n54
Sleepy Hallow,6EPlBSH2RSiettczlz7ihV,"brooklyn drill, nyc rap",2029399,75,https://open.spotify.com/artist/6EPlBSH2RSiettczlz7ihV
Giveon,4fxd5Ee7UefO4CUXgwJ7IP,r&b,3880859,76,https://open.spotify.com/artist/4fxd5Ee7UefO4CUXgwJ7IP
6LACK,4IVAbR2w4JJNJDDRFP3E83,"atl hip hop, melodic rap, r&b, rap, trap",4709151,72,https://open.spotify.com/artist/4IVAbR2w4JJNJDDRFP3E83
Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,"classic soul, funk, quiet storm, soul",1724727,74,https://open.spotify.com/artist/1ThoqLcyIYvZn7iWbj8fsj
Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,pop soul,1090094,75,https://open.spotify.com/artist/3hv9jJF3adDNsBSIQDqcjp
Sade,47zz7sob9NUcODy0BTDvKx,"british soul, sophisti-pop",3974666,74,https://open.spotify.com/artist/47zz7sob9NUcODy0BTDvKx
Jungle,59oA5WbbQvomJz2BuRG071,"indie soul, uk contemporary r&b",1419086,74,https://open.spotify.com/artist/59oA5WbbQvomJz2BuRG071
Thundercat,4frXpPxQQZwbCu3eTGnZEw,"afrofuturism, indie soul",1343574,70,https://open.spotify.com/artist/4frXpPxQQZwbCu3eTGnZEw
Khruangbin,2mVVjNmdjXZZDvhgQWiakk,"indie soul, neo-psychedelic, world",1841624,71,https://open.spotify.com/artist/2mVVjNmdjXZZDvhgQWiakk
Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO,"bedroom pop, bedroom soul",1014630,69,https://open.spotify.com/artist/5FxD8fkQZ6KcsSYupDVoSO
Missy Elliott,2wIVse2owClT7go1WT98tk,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop",2490938,69,https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk
James Blake,53KwLdlmrlCelAZMaLVZqU,"art pop, indie soul, indietronica, uk alternative pop",1462603,70,https://open.spotify.com/artist/53KwLdlmrlCelAZMaLVZqU
Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,"dance pop, hip pop, neo soul, r&b, urban contemporary",3858085,70,https://open.spotify.com/artist/1XkoF8ryArs86LZvFOkbyr
The Temptations,3RwQ26hR2tJtA8F9p2n7jG,"classic soul, disco, memphis soul, motown, soul",2944684,68,https://open.spotify.com/artist/3RwQ26hR2tJtA8F9p2n7jG
Masego,3ycxRkcZ67ALN3GQJ57Vig,"alternative r&b, indie soul",1400777,70,https://open.spotify.com/artist/3ycxRkcZ67ALN3GQJ57Vig
Erykah Badu,7IfculRW2WXyzNQ8djX8WX,"afrofuturism, alternative r&b, neo soul, r&b",2916580,67,https://open.spotify.com/artist/7IfculRW2WXyzNQ8djX8WX
Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,"afrofuturism, alternative r&b, atl hip hop, neo soul, r&b",1464551,66,https://open.spotify.com/artist/6ueGR6SWhUJfvEhqkvMsVs
The Jackson 5,2iE18Oxc8YSumAU232n4rW,"motown, soul",1567503,65,https://open.spotify.com/artist/2iE18Oxc8YSumAU232n4rW
Snoh Aalegra,1A9o3Ljt67pFZ89YtPPL5X,"alternative r&b, scandinavian r&b, swedish soul",1223559,65,https://open.spotify.com/artist/1A9o3Ljt67pFZ89YtPPL5X
Denzel Curry,6fxyWrfmjcbj5d12gXeiNV,"dark trap, drill, hip hop, miami hip hop, pop rap, rap, trap, underground hip hop",2553228,70,https://open.spotify.com/artist/6fxyWrfmjcbj5d12gXeiNV
Ice Spice,3LZZPxNDGDFVSIPqf4JuEf,bronx drill,3755741,71,https://open.spotify.com/artist/3LZZPxNDGDFVSIPqf4JuEf
G Herbo,5QdEbQJ3ylBnc3gsIASAT5,"chicago drill, chicago rap, drill, memphis hip hop, trap",2147369,68,https://open.spotify.com/artist/5QdEbQJ3ylBnc3gsIASAT5
